"condicion","invalidas","AUC_ROC","IC_ROC","AUC_PR","IC_PR","Brier","Media_p","Cal_intercepto","Cal_pendiente","VP","FP","FN","VN","Sensibilidad","Especificidad","Precision","F1","Kappa","valores_p_distintos"
"Metadata+Transcript",4,0.762135498515802,"[0.703, 0.817]",0.363565033375225,"[0.274, 0.465]",0.118929133858268,0.145826771653543,-0.668187883993421,0.389589858484945,48,59,35,493,0.578313253012048,0.893115942028985,0.448598130841121,0.505263157894737,0.419854599175803,6
"Metadata",4,0.657237646237122,"[0.603, 0.713]",0.259794615867802,"[0.189, 0.349]",0.124,0.0932283464566929,0.865934263965275,0.323742928079813,28,35,55,517,0.337349397590361,0.936594202898551,0.444444444444444,0.383561643835616,0.305184068472499,6
"Transcript",0,0.739021302601711,"[0.681, 0.796]",0.348399867743384,"[0.261, 0.451]",0.115779527559055,0.131653543307087,-0.305440956594393,0.379168287550161,47,52,36,500,0.566265060240964,0.905797101449275,0.474747474747475,0.516483516483517,0.436329890251775,5
