"representacion","AUC_ROC","ic_inf","ic_sup","AUC_PR"
"Metadata",0.489800347222222,0.366723256728606,0.618887517049738,0.398466197923539
"Transcript",0.460720486111111,0.343840934480067,0.578247777714056,0.330906235660287
"Metadata+Transcript",0.464409722222222,0.339328270834025,0.588905602594127,0.345640091073023
"Proxies (metadata + transcript)",0.651258680555556,0.538663416275357,0.764441337524954,0.568415750629769
