"representacion","AUC_ROC","AUC_PR","Brier","BalAcc","F1_pos","Kappa","Accuracy"
"Metadata",0.737580757813864,0.320384243369671,0.186979998782699,0.66959140911472,0.365019011406844,0.22665451230629,0.737007874015748
"Transcript",0.798640213026017,0.450639899656949,0.18959062908539,0.728926575868692,0.423357664233577,0.294860982260831,0.751181102362205
"MT",0.794525929806181,0.409811346054112,0.176234179900135,0.728337262091846,0.426966292134831,0.301048193897885,0.759055118110236
