"id","videoId","titulo","canal","clase","vistas","grado","betweenness","closeness","comunidad"
"44","Iv_3j_0540M","🗣️ LA MADRE DE CHANO, EN DEFENSA DE LA SALUD MENTAL","Otro","Informal",87024,5,0,0.00743968940112099,1
"45","J886__gU6yM","¿Qué es tener una buena salud mental? 🧠🤕#tengounplan","Otro","Informal",28080,5,0,0.00743968940112099,1
"46","KgE9bZc62sI","La salud mental es tan importante como la física ❤️❤️❤️❤️","Otro","Informal",500470,5,0,0.00743968940112099,1
"47","KqNz5eVb6Po","Todo lo Que Necesitas Saber Sobre Tu SALUD MENTAL En La ACTUALIDAD [Dra Marian Rojas]","Otro","Informal",36308,5,0,0.00743968940112099,1
"48","MTPRChm5qtM","La Ley de Salud Mental es una realidad | Noticias UNO","Otro","Informal",35991,6,0,0.0198610464714956,7
"49","Mq-PF6DCQXQ","Pensamiento positivo=SALUD MENTAL🧠💯 #exito #motivacional #saludmental #crecimientopersonal #parati","Otro","Informal",616001,5,0,0.127975243659134,2
"50","NHi-amMdm54","No vayas a terapia sin saber esto👆🏼 | #saludmental #terapia #redflags #psicología","Otro","Informal",106357,5,0,0.111557524429482,6
"51","NhefgtBKzys","La #depresión endógena. #saludmental #conocimiento #bienestar #mente #cerebro #salud #ansiedad #amor","Otro","Informal",130012,5,162,0.0333165834254629,7
"52","O6vNo3v92M8","3.11 ¿Qué más tenemos que saber de salud mental en el deporte? – Con Marifer Vázquez","Otro","Informal",25,5,0,0.00743968940112099,1
"53","OQ4TgeKEOVw","7 VOCES EN SALUD MENTAL Y ESPIRITUAL - Psicología y Fe - Hermana Glenda Oficial","Otro","Informal",109123,5,0,0.00743968940112099,1
"54","OhOFprovqoM","El ejercicio físico mejora tu salud mental | Tu Salud Guía","Otro","Informal",12113,6,0.2,0.166666666666667,4
"55","OmM7eSLtWGA","¿Por qué Instagram afecta tanto nuestra salud mental?","Otro","Informal",17182,9,1.66666666666667,0.0824562097044722,8
"56","P12cFt05sr8","ORACIÓN O TERAPIA? // Salud Mental Cristiana","Religioso","Informal",8313,6,1,0.0198660854455547,7
"57","PM2JTn_MhDY","Maipú: Presidente Gabriel Boric inaugura Centro de Salud Mental Comunitario Lo Errázuriz","Otro","Informal",1921,5,0,0.00743968940112099,1
"58","PsEB_SDb-1A","VACÍO 🕳️ No se llena con nada… O sí?? #malcriada #dreamcore #saludmental","Otro","Informal",14779,5,0,0.111557524429482,6
"59","PtQLstMQgQA","Salud Mental Y Espiritual: La Mejor Entrevista De La Dra Isabel Rojas Estapé (NUEVO 2023)","Otro","Informal",27754,7,1.5,0.127023127740656,2
"60","Q01DTEIg9iU","NO EXISTE la SALUD MENTAL y los DIAGNÓSTICOS son INVENTADOS - José Luis Marín y María Xesús Froxán","Otro","Informal",76485,5,0,0.00743968940112099,1
"61","Q3JdMVVjjrM","Centros de Salud Mental Comunitarios del Minsa","Otro","Informal",14745,5,0,0.00743968940112099,1
"62","QWIetO5kycE","Ep 45- Dr. Pierluigi Mancini, psicólogo y defensor de la salud mental multicultural","Otro","Informal",3036,7,3,0.094027140370478,5
