"contraste","dAUC_ROC","ROC_inf","ROC_sup","dAUC_PR","PR_inf","PR_sup"
"Transcript - Metadata",0.0179522437576393,-0.04778143643643,0.0807378455097305,0.0599955313474739,-0.0391224082960496,0.145347182140182
"Metadata+Transcript - Metadata",0.0407499563471276,0.0109995488206166,0.0692349286066581,0.0932650850308705,0.0401995725924079,0.135628369457056
"Proxies (metadata + transcript) - Proxies (metadata)",0.0223600925440894,-0.0338804241632355,0.0780012995953451,0.0194173241827541,-0.0190274486627891,0.0634068956403674
"Metadata - Proxies (metadata)",0.125218264361795,0.0658316211308215,0.189722180022895,0.150574335787031,0.0799807025094003,0.242905748051893
"Metadata+Transcript - Proxies (metadata + transcript)",0.143608128164833,0.082607143060059,0.209410551150193,0.224422096635148,0.130800008719553,0.316146720074186
