"proxy","logodds_por_DE"
"D1",-0.130755830737717
"D2",0.029492522463886
"D3",0.16836674267185
"D4",0.00687914761379995
"D5",-0.0371862240112034
"D6",-0.108217157686212
"D7",-0.0127198161068869
"D8",-0.0214545160408795
"T9",-0.0337038723714619
"T10",-0.0713816757006485
"T11",-0.042389112026955
"T12",0.0693888082441948
"T13",-0.0358652792211404
"T14",0.0430976172900079
"T15",0.0438399145438699
"G16",-0.0039672071745737
"H1",-0.0361473190661659
"H2",-0.0785618727425438
"H3",0.0114931628811405
"H4",0.0430503663476244
"H5",0.0992278714991184
"H6",0.0306529479379634
"H7",-0.0140821338142474
"H8",-0.0329626604433527
