"representacion","AUC_ROC","AUC_ROC_de","AUC_PR","AUC_PR_de"
"Engagement",0.601439453466038,0.0208307606188131,0.197126258621384,0.0166056652478792
"Title",0.630101929456958,0.0183381737319137,0.293749174490217,0.0320181326673217
"Metadata",0.68869281473721,0.0236961689014643,0.309677919788781,0.0383866219741386
"Transcript",0.59484677841802,0.0231110841035154,0.226470286087283,0.0212978050084879
"Metadata+Transcript",0.670535402479483,0.02512929353948,0.288547610820165,0.0245895694160674
"Proxies (metadata)",0.631621049415051,0.0219798161052726,0.23271579623862,0.0178064726081925
"Proxies (metadata + transcript)",0.616604461323555,0.0193788395777697,0.204954782381896,0.010292501279542
