"criterio","n_neg","prevalencia","representacion","AUC_ROC","AUC_ROC_de","AUC_PR","AUC_PR_de"
"Alignment with Medical Consensus",98,0.154330708661417,"Metadata",0.623038042032455,0.00948583851665382,0.266450672266181,0.0200843261974908
"Alignment with Medical Consensus",98,0.154330708661417,"Transcript",0.611074373883632,0.00780218226134223,0.28051198247941,0.0166390999990595
"Alignment with Medical Consensus",98,0.154330708661417,"Metadata+Transcript",0.642294683236423,0.00980085505217651,0.323220699645874,0.0216130367965324
