"clase","n","grado_medio","grado_sd","between_medio","between_sd","close_medio","vistas_mediana"
"Informal",121,8.34,14.6,28.91,134.35,0.0294,9005
"Institucional",21,9.76,17.9,37.71,168.05,0.0176,22972
